"","especie","eco_con","eco_dud","hab_con","hab_dud","tha","ele_inf","ele_sup"
"241","Lama guanicoe","Altos Andes; Puna; Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Bosque Patagónico; Espinal; Estepa Patagónica; Islas del Atlántico Sur","","arbustales; pastizales; estepas","selvas o bosques; rupestre; pasturas ganaderas","MEDIA","0","5000"
"242","Lasiurus (Aeorestes) villosissimus","Altos Andes; Yungas; Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Chaco Húmedo; Espinal; Delta e Islas del Paraná; Pampa; Selva Paranaense","","selvas o bosques; arbustales","urbano o periurbano","MEDIA","0","4250"
"243","Lasiurus blossevillii","Yungas; Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Chaco Húmedo; Espinal; Delta e Islas del Paraná; Pampa; Selva Paranaense","","selvas o bosques; arbustales; pastizales; urbano o periurbano","","MEDIA","4","2700"
"244","Lasiurus varius","Monte de Llanuras y Mesetas; Bosque Patagónico; Estepa Patagónica","","selvas o bosques; pastizales; rupestre","forestaciones; urbano o periurbano","MEDIA","195","2020"
"245","Leopardus colocolo","Altos Andes; Puna; Yungas; Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Pampa; Selva Paranaense; Estepa Patagónica","","pastizales; rupestre; estepas","arbustales; palustre; pasturas ganaderas","BAJA","0","5000"
"246","Leopardus geoffroyi","Yungas; Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Chaco Húmedo; Bosque Patagónico; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa; Estepa Patagónica","Puna","selvas o bosques; arbustales; pastizales; estepas; palustre","rupestre; cultivos o agrícolas; forestaciones; pasturas ganaderas","ALTA","0","3800"
"247","Leopardus guigna","Bosque Patagónico","","selvas o bosques","arbustales; forestaciones","MEDIA","0","2500"
"248","Leopardus guttulus","Selva Paranaense","","selvas o bosques","arbustales; cultivos o agrícolas; forestaciones","MEDIA","0","2000"
"249","Leopardus jacobita","Altos Andes; Puna; Monte de Llanuras y Mesetas; Estepa Patagónica","","rupestre","arbustales; estepas","BAJA","650","5000"
"250","Leopardus pardalis","Yungas; Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Selva Paranaense","","selvas o bosques","arbustales; pastizales; forestaciones","BAJA","0","3000"
"251","Leopardus tigrinus","Yungas","","selvas o bosques","cultivos o agrícolas; forestaciones","MEDIA","600","2500"
"252","Leopardus wiedii","Yungas; Monte de Sierras y Bolsones; Campos y Malezales; Selva Paranaense","","selvas o bosques","arbustales; pastizales","MEDIA","100","2300"
"253","Leptonychotes weddellii","Islas del Atlántico Sur; X Mar Argentino","","costeros; oceánicos","","DESCONOCIDA","0","3"
"254","Lestodelphys halli","Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Estepa Patagónica","","arbustales; pastizales; estepas","","MEDIA","0","2200"
"255","Lissodelphis peronii","","","oceánicos","costeros","DESCONOCIDA","",""
"256","Lobodon carcinophaga","Islas del Atlántico Sur; X Mar Argentino","","costeros; oceánicos","","DESCONOCIDA","",""
"257","Lontra felina","","Islas del Atlántico Sur","costeros","","DESCONOCIDA","0","25"
"258","Lontra longicaudis","Yungas; Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa; Selva Paranaense","","lagos o lagunas; rios o arroyos; palustre","selvas o bosques; arbustales; pastizales; cultivos o agrícolas; forestaciones; pasturas ganaderas; embalses o diques; urbano o periurbano; canales artificiales","MEDIA","0","2000"
"259","Lontra provocax","Bosque Patagónico; Estepa Patagónica; Islas del Atlántico Sur","","lagos o lagunas; rios o arroyos; palustre; costeros","embalses o diques","MUY BAJA","0","900"
"260","Loxodontomys micropus","Bosque Patagónico; Estepa Patagónica","","selvas o bosques; arbustales","pastizales; estepas","BAJA","0","2500"
"261","Lutreolina crassicaudata","Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa; Selva Paranaense","","pastizales; palustre","selvas o bosques; arbustales","MEDIA","0","600"
"262","Lutreolina massoia","Yungas","","selvas o bosques","","BAJA","400","2000"
"263","Lycalopex culpaeus","Altos Andes; Puna; Yungas; Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Bosque Patagónico; Estepa Patagónica; Islas del Atlántico Sur","","selvas o bosques; arbustales; pastizales; estepas","rupestre; forestaciones; pasturas ganaderas; urbano o periurbano","MEDIA","0","5000"
"264","Lycalopex gymnocercus","Puna; Yungas; Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Chaco Húmedo; Bosque Patagónico; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa; Estepa Patagónica; Islas del Atlántico Sur","","arbustales; pastizales; rupestre; estepas; forestaciones; pasturas ganaderas","selvas o bosques; cultivos o agrícolas; urbano o periurbano","ALTA","0","3500"
"265","Lyncodon patagonicus","Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Bosque Patagónico; Espinal; Pampa; Estepa Patagónica","","arbustales; estepas","pastizales","DESCONOCIDA","0","2000"
"266","Macrophyllum macrophyllum","Selva Paranaense","","selvas o bosques","","BAJA","96","110"
"267","Marmosa constantiae","Yungas; Chaco Húmedo","","selvas o bosques","","MEDIA","50","1600"
"268","Marmosa paraguayana","Campos y Malezales; Selva Paranaense","","selvas o bosques","","MEDIA","50","600"
"269","Mazama americana","Yungas; Chaco Seco; Chaco Húmedo; Selva Paranaense","","selvas o bosques","forestaciones","BAJA","0","2000"
"270","Mazama gouazoubira","Yungas; Monte de Sierras y Bolsones; Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Selva Paranaense","","selvas o bosques; arbustales; pastizales","cultivos o agrícolas; forestaciones; pasturas ganaderas","ALTA","0","1500"
"271","Mazama nana","Selva Paranaense","","selvas o bosques","arbustales; forestaciones","MEDIA","100","500"
"272","Megaptera novaeangliae","Islas del Atlántico Sur; X Mar Argentino","","oceánicos","costeros","MEDIA","",""
"273","Mesoplodon bowdoini","Islas del Atlántico Sur; X Mar Argentino","","oceánicos","","BAJA","",""
"274","Mesoplodon grayi","Islas del Atlántico Sur; X Mar Argentino","","oceánicos","costeros","DESCONOCIDA","",""
"275","Mesoplodon hectori","Islas del Atlántico Sur; X Mar Argentino","","oceánicos","costeros","BAJA","",""
"276","Mesoplodon layardii","Islas del Atlántico Sur; X Mar Argentino","","oceánicos","costeros","DESCONOCIDA","",""
"277","Metachirus nudicaudatus","Selva Paranaense","","selvas o bosques","forestaciones","SIN DATOS","0","2100"
"278","Microcavia australis","Altos Andes; Monte de Llanuras y Mesetas; Espinal; Pampa; Estepa Patagónica","","arbustales; pastizales; estepas","","MEDIA","",""
"279","Microcavia jayat","Chaco Seco","","arbustales; pastizales","","DESCONOCIDA","",""
"280","Microcavia maenas","Monte de Sierras y Bolsones; Chaco Seco","","arbustales; pastizales; estepas","rupestre","DESCONOCIDA","",""
"281","Microcavia shiptoni","Altos Andes; Puna","","arbustales; pastizales; rupestre; estepas","","DESCONOCIDA","3000","4000"
"282","Micronycteris microtis","Yungas","","selvas o bosques; palustre","urbano o periurbano; canales artificiales","BAJA","400","600"
"283","Mirounga leonina","Islas del Atlántico Sur; X Mar Argentino","","oceánicos","costeros","DESCONOCIDA","",""
"284","Molossops neglectus","Campos y Malezales; Selva Paranaense","","selvas o bosques; arbustales","urbano o periurbano","MEDIA","70","190"
"285","Molossops temminckii","Yungas; Chaco Seco; Chaco Húmedo; Campos y Malezales; Espinal; Delta e Islas del Paraná","Monte de Llanuras y Mesetas","selvas o bosques; arbustales","cultivos o agrícolas; urbano o periurbano","MEDIA","54","1400"
"286","Molossus currentium","Esteros del Iberá; Delta e Islas del Paraná; Pampa","","arbustales","urbano o periurbano","DESCONOCIDA","7","60"
"287","Molossus molossus","Yungas; Monte de Sierras y Bolsones; Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa; Selva Paranaense","","selvas o bosques; arbustales; pastizales; rupestre","cultivos o agrícolas; forestaciones; pasturas ganaderas; urbano o periurbano","ALTA","0","1800"
"288","Molossus rufus","Yungas; Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Selva Paranaense","","selvas o bosques; arbustales; pastizales","urbano o periurbano","MEDIA","19","1200"
"289","Monodelphis dimidiata","Chaco Seco; Campos y Malezales; Esteros del Iberá; Espinal; Pampa; Selva Paranaense","Yungas","selvas o bosques; arbustales; pastizales","cultivos o agrícolas; pasturas ganaderas","MEDIA","0","2000"
"290","Monodelphis domestica","Chaco Seco; Chaco Húmedo","","selvas o bosques; arbustales; pastizales","cultivos o agrícolas; urbano o periurbano","ALTA","60","200"
"291","Monodelphis iheringi","","Selva Paranaense","selvas o bosques","","DESCONOCIDA","",""
"292","Monodelphis kunsi","Yungas","","selvas o bosques; arbustales","pastizales","DESCONOCIDA","200","1500"
"293","Monodelphis scalops","Selva Paranaense","","selvas o bosques","pastizales","DESCONOCIDA","0","1400"
"294","Monodelphis unistriata","Selva Paranaense","","","","SIN DATOS","",""
"295","Myocastor coypus","Yungas; Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Chaco Húmedo; Bosque Patagónico; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa; Selva Paranaense; Estepa Patagónica","Islas del Atlántico Sur","lagos o lagunas; palustre","rios o arroyos; embalses o diques; canales artificiales","ALTA","0","1200"
"296","Myotis aelleni","","","","","SIN DATOS","",""
"297","Myotis albescens","Yungas; Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa; Selva Paranaense","","selvas o bosques; arbustales; forestaciones","pastizales; rupestre; cultivos o agrícolas; pasturas ganaderas; urbano o periurbano","MEDIA","0","1500"
